id,name,city_name,latitude,longitude
0086721e-cfdc-520b-8ccb-2b91d7f51867,Vũng Tàu Garden City Homestay,Vũng Tàu,10.354286,107.071867
0086da40-9e93-5fcc-a4a5-a5102c4db30f,"Rừng Tỉnh Đội, Cầu Sóc Triết",An Giang,10.361082,105.068024
008720f9-c287-5832-a8e5-e1595da000f6,Lake View Quy Nhon Hotel,Bình Định,13.781307,109.232939
0087236d-9a1b-5099-af4f-75d4c9bd7c1d,Mai Gia Quán - Bún Đậu Mắm Tôm & Bánh Cuốn Nóng,Quảng Ninh,21.066213,107.424925
0087c38e-87b5-532a-a40a-f41d38226e9d,Lam Coffee,Bến Tre,10.240024,106.376048
0088486e-3793-5fcf-babc-32c670eea692,Lẩu Nướng Cầu Lim,Quảng Ninh,21.058636,106.592227
008be4b6-c47e-5cfd-ba15-1d55856af65c,Quán Bún Điểm Tâm,Quảng Nam,15.566736,108.483483
008cfa17-8b10-5f92-9156-65d9af252371,Bảo tàng Khởi nghĩa Ba Tơ,Quảng Ngãi,14.764187,108.730735
008e1053-336e-505d-98f0-e0480c1b2195,Nâu Food - Thức Ăn Nhanh - Tôn Thất Thuyết,Thành phố Hồ Chí Minh,10.753623,106.707376
008eaf9e-5f2f-5950-a8fd-cd2c936f2233,Đuc Anh HoTel 2,Vũng Tàu,10.376574,107.113208
008ec81e-3e08-5c9f-b80d-c4ec7a64517b,Cô Hậu - Cháo Trắng Lá Dứa,Huế,16.477062,107.58965
0091a4d1-97ee-5de9-985d-1f6b030ebf57,Lotte Cinema - Hội An,Quảng Nam,15.917404,108.331306
00925cb8-73f6-5834-a606-342c70394ecc,DQua Hotel,Khánh Hòa,12.251401,109.19252
0092db5b-62f5-5cac-afe3-c516a3099382,Bánh Canh Thố Đất - Bếp Nhà Hằng,Khánh Hòa,12.288575,109.200459
009363d0-82ab-580c-b195-2a20425a198b,Cơm Gà Ta A Tài - Trần Nhật Duật,Khánh Hòa,12.237742,109.18541
00969696-5583-5c23-9ae2-a0143fc0a252,Chè Xoa Xoa,Đà Nẵng,16.065857,108.218368
0097f23b-870d-5b7d-9945-000d09268bdf,Gà Tần Mai Hương - Hàng Cót,Hà Nội,21.039232,105.847208
009a8949-988e-53da-b6f3-a1f9951eac0a,Khu du lịch sinh thái (Suối Đá Bàn),Kiên Giang,10.245446,104.027033
009b0d2f-0779-5823-909a-b9e97ffaaefc,Bánh Xèo Bà Anh,Lào Cai,22.488251,103.971212
009c2356-5e98-53be-ad49-d31db8d0cef4,Bò Né Bốn Triệu,Đắk Lắk,12.680818,108.044255
009c32e3-8360-52d2-9ea9-5a8336cdb80b,Kanu Karaoke - Hùng Vương,Bình Thuận,10.939338,108.108918
009cb600-2803-5ca9-b0ac-2ea572fea661,Tu Lien Pagoda,Hà Nội,21.06449,105.829524
009d3401-14ea-5f90-89db-9277829b4aed,"Gỏi Cuốn, Bún Thịt Xào & Chuối Xào",Tiền Giang,10.361994,106.367077
009e307a-72fb-5a89-8778-2ba3dd0759d5,Ale Nha Trang Hotel,Khánh Hòa,12.237516,109.194187
00a0e684-569c-56b8-a589-ec9de8f31fa8,"Bao Fam - Bánh Bao Kẹp, Cơm & Mỳ Miến",Đà Nẵng,16.045347,108.209295
00a0fef6-80d4-58d6-824c-fd878591010d,Hồ Thủy Điện Na Hang,Tuyên Quang,22.368794,105.399176
00a1d886-bdf7-45f0-b85e-b7105716c1e0,Cơm tấm Bụi Sài Gòn,Thành phố Hồ Chí Minh,10.7756,106.6991
00a36917-c4c6-5388-bfc9-cbebba516997,Ốc Nóng & Trứng Cút Lộn - Thụy Khuê,Hà Nội,21.042343,105.82454
00a43d82-7b32-5b1d-87a0-008c6715bd79,Hội Thánh Tin Lành LONG XUYÊN,An Giang,10.380644,105.440965
00a4a50a-5258-5638-864c-08b1a798b02e,Sinh Tố Thuận Lợi,Đồng Nai,10.950356,106.817885
00a522a1-39f4-5b7b-b524-9d237f398766,Canada Coffee & Wedding House,Lâm Đồng,11.738194,108.37564
00a7c41a-8a71-5b90-ab9e-f961d5d8b173,Lươn Xứ Nghệ - Cốm Vòng,Hà Nội,21.031327,105.7854
00a86db9-a699-5386-9117-73b82c7e7c3c,May Hostel,Hải Phòng,20.859004,106.6841
00aa0ba5-b934-534c-be5f-f4f57756d91c,"Cô Na Quán - Bánh Canh, Bánh Đa Cá Rô & Cơm Gia Đình",Lâm Đồng,11.944158,108.440734
00abcdc0-a570-5976-ad0e-92edebfa9fb4,Diễm My - Kimpap & Ăn Vặt,Cần Thơ,10.039374,105.78472
00b008b9-b45d-5949-be42-8ba7e3750a44,Hidden Mansions Saigon Resort,Thành phố Hồ Chí Minh,10.857253,106.699105
