0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.08342262,-0.11918172,0.102803834,0.07003665,0.14909235,0.03470257,0.041003734,-0.0811322,-0.0886317,-0.08697291,0.022491494,-0.0048818225,-0.03541355,-0.00180111,-0.15061946,-0.083033904
0.0022773072,0.015428061,-0.004715134,0.026264386,-0.021051545,-0.02598256,-0.05248109,0.012976376,0.037917815,-0.007252025,0.012166009,-0.051313493,-0.056532312,0.059374977,0.003939019,-0.08894976
-0.066857725,-0.040923886,0.07195033,-0.049622536,0.031190561,-0.09848641,0.0791672,-0.06602737,-0.001225876,-0.07513582,0.07013409,0.06579925,0.038047243,-0.01034776,0.12671854,-0.16164237
-0.11443867,-0.052777316,-0.03781608,0.104077175,0.10016448,0.10671726,-0.03733566,0.11881947,0.018312328,-0.02237143,0.009301865,-0.016010411,0.09901965,-0.08591321,0.05126832,0.12838519
-0.025025193,0.025483763,0.067404814,0.013169035,0.03313444,-0.042763297,0.058814015,-0.06825129,0.15791424,0.010284397,-0.08510572,-0.13948298,0.06569581,0.07496467,-0.082243465,-0.022467107
-0.015183744,-0.0923216,-0.09129635,-0.11531928,-0.042166736,-0.012332447,-0.033946708,0.072949015,0.019170146,0.07541095,0.076024786,-0.08666208,0.01835569,-0.15037256,-0.12707064,-0.1429487
0.018366052,0.0754568,-0.15906651,-0.106157385,0.03474917,-0.1336758,0.15535784,0.092505924,0.11348859,0.079245865,0.00052282534,0.07146309,0.009129218,0.04760594,-0.20475353,-0.0038316336
-0.030403415,0.07850407,0.110459216,-0.0045953616,-0.0662982,0.04518479,-0.098297976,-0.0655106,0.18401778,0.034535594,0.01874089,0.082141675,0.056877792,-0.07180488,0.1139982,-0.026457228
0.10091495,0.07140444,0.010625355,0.12103886,-0.056710888,0.051357694,-0.029411552,0.013045589,0.17043643,0.24967958,-0.017701756,-0.11605756,0.024853375,0.024555225,-0.14039497,0.09131394
0.12599699,0.0033531932,-0.15649408,0.078137144,-0.08847538,0.0118166115,0.18828548,0.11595242,-0.021862203,0.031013386,0.14771746,0.15053079,-0.06633643,0.07964676,-0.058664773,-0.048903998
