0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.06680069,0.031841047,-0.012280269,0.113824606,0.004058065,0.074134916,-0.03319036,-0.051160254,-0.043129846,0.15339912,-0.13240929,-0.0020867398,0.025793865,0.011456711,-0.022709131,0.09946138
-0.012259363,0.114778936,-0.020256365,0.051924698,0.021091068,0.11382874,-0.015738754,0.07586089,0.07299298,0.015118224,0.10806933,-0.004780126,0.17153707,0.068131894,-0.24854301,0.07963535
0.10269075,-0.16482437,-0.05940149,-0.011996267,0.1316889,-0.15707397,-0.14062583,-0.13052131,-0.07970613,-0.22165431,-0.03588606,0.0023688986,-0.051586412,-0.21527445,0.020348372,-0.09753468
0.10953788,0.025448443,-0.096488476,-0.028975246,-0.051724352,0.08390549,0.01888003,-0.052041434,0.03700788,0.02076868,-0.09629534,-0.22869368,0.025385804,0.14592808,-0.01684265,0.06030131
-0.07120541,-0.26022682,0.03147339,0.04744599,0.22035739,-0.15147337,0.10314309,-0.10546495,-0.1111839,0.16597672,-0.13071314,-0.07468087,-0.16591947,0.17802036,0.1492261,-0.10469074
-0.044004768,-0.13398384,-0.016106056,0.01427444,0.01733839,0.16331822,-0.037877537,-0.17198126,-0.15588897,0.21856385,0.16744569,-0.018096652,0.0835807,-0.19716834,-0.103274874,-0.15297836
0.020232996,-0.0057823327,-0.09766642,0.04534757,-0.07924702,0.009330881,-0.031898897,-0.008845826,-0.026730983,-0.18033873,0.17235656,0.024040246,-0.16849779,0.07698683,-0.14699584,0.0963866
0.16560955,0.05387049,-0.21283515,-0.01774354,0.080877565,-0.024023362,0.13639364,-0.02996207,0.085678704,0.021939429,-0.20945558,-0.04478772,-0.007139997,-0.089205295,0.15538286,-0.09211177
0.023563681,0.0302225,-0.07511025,-0.04778708,-0.058436118,-0.067151755,-0.06888687,-0.18235232,0.086754605,-0.10979888,0.11850291,0.02877081,-0.04397241,-0.13688606,0.14101319,0.035961717
-0.11900748,-0.2541244,-0.16267784,0.109482996,-0.104989775,0.07744615,0.31337172,0.014305032,-0.15607345,0.08184699,0.09771752,0.028060433,-0.057389207,0.07597777,0.033412885,-0.021117479
